Apennines,Imbrium basin rim,2947,1138
Copernicus,Archetypal large complex crater,3210,1285
Tycho,Large rayed crater with impact melts,3066,2134
Altai Scarp,Nectaris basin rim,2525,1829
Theophilus Cyrillus Catharina,Crater sequence illustrating stages of degradation,2503,1651
Clavius,Lacks basin features in spite of its size,3114,2381
Mare Crisium,Mare contained in large circular basin,1941,1152
Aristarchus,Very bright crater with dark bands on its walls,3649,1061
Proclus,Oblique-impact rays,2137,1182
Gassendi,Floor-fractured crater,3531,1722
Sinus Iridum,Very large crater with missing rim,3401,720
Straight Wall,Best example of a lunar fault,3013,1789
Petavius,Crater with domed & fractured floor,1919,1842
Schröter's Valley,Giant sinuous rille,3703,1021
Mare Serenitatis dark edges,Distinct mare areas with different compositions,2519,1155
Alpine Valley,Lunar graben,2840,656
Posidonius,Floor-fractured crater,2408,931
Fracastorius,Crater with subsided & fractured floor,2355,1784
Aristarchus Plateau,Mysterious uplifted region mantled with pyroclastics,3706,1024
Pico,Isolated Imbrium basin-ring fragment,3031,709
Hyginus Rille,Rille containing rimless collapse pits,2763,1322
Messier & Messier A,Oblique ricochet-impact pair,2124,1470
Mare Frigoris,Arcuate mare of uncertain origin,2866,544
Archimedes,Large crater lacking central peak,2952,965
Hipparchus,First drawing of a single crater,2811,1528
Aridaeus Rille,Long linear graben,2663,1338
Schiller,Possible oblique impact,3514,2270
Taruntius,Young floor-fractured crater,2142,1350
Arago Alpha & Beta,Volcanic domes,2545,1341
Serpentine Ridge,Basin inner-ring segment,2482,1003
Lacus Mortis,Strange crater with rille & ridge,2452,720
Triesnecker Rilles,Rille family,2814,1371
Grimaldi basin,A small two-ring basin,3984,1528
Bailly,Barely discernible basin,3997,2504
Sabine & Ritter,Possible twin impacts,2572,1413
Schickard,Crater floor with Orientale basin ejecta stripe,3775,2149
Janssen Rille,Rare example of a highland rille,2257,2166
Bessel ray,Ray of uncertain origin near Bessel,2601,1091
Marius Hills,Complex of volcanic domes & hills,3754,1240
Wargentin,A crater filled to the rim with lava or ejecta,3854,2234
Mersenius,Domed floor cut by secondary craters,3677,1784
Maurolycus,Region of saturation cratering,2663,2112
Regiomontanus central peak,Possible volcanic peak,2898,1888
Alphonsus dark spots,Dark-halo eruptions on crater floor,2939,1659
Cauchy region,Fault rilles & domes,2278,1272
Gruithuisen Delta & Gamma,Volcanic domes formed with viscous lavas,3530,859
Cayley Plains,Light smooth plains of uncertain origin,2646,1376
Davy crater chain,Result of comet-fragment impacts,2994,1618
Crüger,Possible volcanic caldera,3960,1707
Lamont,Possible buried basin,2508,1370
Hippalus Rilles,Rilles concentric to Humorum basin,3353,1832
Baco,Unusually smooth crater floor & surrounding plains,2582,2256
Australe basin,A partially flooded ancient basin,1532,2237
Reiner Gamma,Conspicuous swirl & magnetic anomaly,3838,1317
Rheita Valley,Basin secondary-crater chain,2062,2120
Schiller-Zucchius basin,Badly degraded overlooked basin,3610,2336
Kies Pi,Volcanic dome,3276,1870
Mösting A,Simple crater close to center of lunar near side,2971,1491
Rümker,Large volcanic dome,3820,787
Imbrium sculpture,Basin ejecta near & overlying Boscovich & Julius Caesar,2695,1264
Descartes,Apollo 16 landing site; putative region of highland volcanism,2636,1627
Hortensius domes,Dome field north of Hortensius,3336,1318
Hadley Rille,Lava channel near Apollo 15 landing site,2840,1040
Fra Mauro formation,Apollo 14 landing site on Imbrium ejecta,3169,1498
Flamsteed P,Proposed young volcanic crater & Surveyor 1 landing site,3594,1488
Copernicus secondary craters,Rays & craterlets near Pytheas,3194,1126
Humboldtianum basin,Multi-ring impact basin,1604,528
Sulpicius Gallus dark mantle,Ash eruptions northwest of crater,2702,1126
Atlas dark-halo craters,Explosive volcanic pits on the floor of Atlas,2176,693
Smythii basin,Difficult-to-observe basin scarp & mare,1492,1472
Copernicus H,Dark-halo impact crater,3182,1330
Ptolemaeus B,Saucer like depression on the floor of Ptolemaeus,2901,1568
W. Bond,Large crater degraded by Imbrium ejecta,2829,395
Sirsalis Rille,Procellarum basin radial rilles,3878,1691
Lambert R,A buried ghost crater,3219,1059
Sinus Aestuum,Eastern dark-mantle volcanic deposit,2944,1248
Orientale basin,Youngest large impact basin,4412,1744
Hesiodus A,Concentric crater,3161,1922
Linné,Small crater once thought to have disappeared,2699,997
Plato craterlets,Crater pits at limits of detection,3039,614
Pitatus,Crater with concentric rilles,3105,1917
Langrenus rays,Aged ray system,1911,1582
Prinz Rilles,Rille system near the crater Prinz,3578,1008
Humboldt,Crater with central peaks & dark spots,1590,1872
Peary,Difficult-to-observe polar crater,2359,22
Valentine Dome,Volcanic dome,2726,952
Armstrong Aldrin & Collins,Small craters near the Apollo 11 landing site,2508,1419
De Gasparis Rilles,Area with many rilles,3701,1854
Gylden Valley,Part of the Imbrium radial sculpture,2877,1522
Dionysius rays,Unusual & rare dark rays,2610,1395
Drygalski,Large south-pole region crater,4250,2709
Procellarum basin,The Moon's biggest basin?,3129,1072
Leibnitz Mountains,Rim of South Pole-Aitken basin,2407,2800
Inghirami Valley,Orientale basin ejecta,4059,2144
Imbrium lava flows,Mare lava-flow boundaries,3241,915
Ina,D-shaped young volcanic caldera,2803,1142
Mare Marginis swirls,Possible magnetic field deposits,1476,1144
