Abbe,63.98,5676,2361
Abbe H,25.13,5721,2375
Abbe K,26.1,5710,2397
Abbe M,28.61,5684,2428
Abbot,10.4,3756,1351
[Abduh],0,3504,1205
Abel,137.35,4252,1994
Abel A,27.83,4253,2021
Abel B,41.55,4202,2028
Abel C,36.84,4183,2018
Abel D,27.9,4263,2043
Abel E,14,4231,2041
Abel J,18.76,4158,2019
Abel K,9.94,4119,1995
Abel L,54.13,4198,1993
Abel M,91.01,4216,1958
Abenezra,43.19,3070,1776
Abenezra A,22.19,3047,1805
Abenezra B,13.77,3041,1773
Abenezra C,43.69,3057,1782
Abenezra D,7.25,3034,1788
Abenezra E,14.11,3030,1783
Abenezra F,6.3,3045,1785
Abenezra G,4.92,3056,1768
Abenezra H,4.72,3083,1777
Abenezra J,4.26,3051,1759
Abenezra P,39.27,3038,1760
Abetti,1.6,3325,1118
Abulfeda,62.23,3103,1662
Abulfeda A,13.26,3052,1703
Abulfeda B,15.49,3142,1672
Abulfeda BA,13.99,3149,1675
Abulfeda C,16.43,3053,1645
Abulfeda D,19.68,3031,1652
Abulfeda E,5.55,3042,1708
Abulfeda F,17.47,3089,1699
Abulfeda G,6.31,3023,1650
Abulfeda H,4.22,3033,1661
Abulfeda J,4.07,3040,1688
Abulfeda K,9.93,3049,1679
Abulfeda L,4.95,3051,1665
Abulfeda M,10.05,3073,1700
Abulfeda N,13.07,3075,1682
Abulfeda O,6.6,3059,1688
Abulfeda P,4.59,3065,1688
Abulfeda Q,3.51,3076,1646
Abulfeda R,6.34,3088,1645
Abulfeda S,5.28,3093,1636
Abulfeda T,6.16,3099,1678
Abulfeda U,5.82,3101,1648
Abulfeda W,5.42,3102,1641
Abulfeda X,5.8,3104,1680
Abulfeda Y,4.63,3105,1644
Abulfeda Z,5.66,3123,1676
Abul Wáfa,54.18,4746,1425
Abul Wáfa A,14.98,4750,1418
Abul Wáfa Q,31.04,4734,1438
Acosta,13.06,3842,1530
Adams,63.27,3974,1950
Adams B,31.33,3931,1945
Adams C,11.12,3929,1958
Adams D,46.26,4023,1959
Adams M,25.23,3989,1996
Adams P,25.43,4015,2002
Aepinus,16.74,1125,33
Agatharchides,51.98,2382,1758
Agatharchides A,15.68,2425,1812
Agatharchides B,6.97,2373,1784
Agatharchides C,11.46,2353,1793
Agatharchides E,15.27,2349,1772
Agatharchides F,5.89,2370,1764
